dt,_col1,mad_id,gps_scans,location_update,event_type,time_zone
2017-09-24,2017-09-24T00:51:08.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Madalena', u'Madalena', u'Rua Jos\xe9 Ant\xf4nio Cabral da Silveira', u'2\u2013116', u'50610'], [-8.051601, -34.905843, 37.31236573440908], 1506214268915]]","[[u'BR', u'PE', None, u'Madalena', u'Madalena', u'Rua Jos\xe9 Ant\xf4nio Cabral da Silveira', u'2\u2013116', u'50610'], [-8.051601, -34.905843, 37.31236573440908], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506214268915, u'America/Recife', [[u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW'], [u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW']], u'c67a03692bcd4fe26291712cf7f2dec47bbe94d0eb849a6c6ecac2fdbfb350fe', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
2017-09-24,2017-09-24T15:01:00.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'2\u201388', u'50610'], [-8.051667, -34.905716999999996, 65.0], 1506265260090]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'2\u201388', u'50610'], [-8.051667, -34.905716999999996, 65.0], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506265260090, u'America/Recife', [[u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW'], [u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW'], [u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'58bab77558dae658c21a202c', [u'point_of_interest'], u'LOW'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-24,2017-09-24T16:26:06.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Avenida Visconde de Albuquerque', u'500', u'50610'], [-8.053414, -34.90667, 65.0], 1506270366195]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Avenida Visconde de Albuquerque', u'500', u'50610'], [-8.053414, -34.90667, 65.0], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506270366195, u'America/Recife', [[u'58d5c15158dae651ff3450d8', [u'store', u'car_repair'], u'LOW'], [u'58d415fa58dae65516919448', [u'car_dealer'], u'LOW'], [u'58d5fff158dae651ff34cd85', [u'doctor'], u'LOW'], [u'58e1f44d58dae64d700de919', [u'hospital'], u'LOW'], [u'58db158158dae621975bcea5', [u'electronics_store', u'store', u'lawyer'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-24,2017-09-24T16:20:46.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jos\xe9 Os\xf3rio', u'364', u'50610'], [-8.053213, -34.907948, 200.0], 1506270046846]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jos\xe9 Os\xf3rio', u'364', u'50610'], [-8.053213, -34.907948, 200.0], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506270046846, u'America/Recife', [[u'5816f7be58dae6667a0ffbc0', [u'store'], u'LOW'], [u'58d2c16558dae655168d5373', [u'insurance_agency'], u'LOW'], [u'58811d8a58dae602e9efaeb5', [u'car_dealer'], u'LOW'], [u'588099a258dae602e9ece94b', [u'insurance_agency', u'car_dealer'], u'LOW'], [u'58e4c88758dae64d7010e78b', [u'doctor'], u'LOW']], u'c67a03692bcd4fe26291712cf7f2dec47bbe94d0eb849a6c6ecac2fdbfb350fe', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
2017-09-24,2017-09-24T15:29:39.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jos\xe9 Bonif\xe1cio', u'385', u'51345'], [-8.047749, -34.906534, 65.0], 1506266979745]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jos\xe9 Bonif\xe1cio', u'385', u'51345'], [-8.047749, -34.906534, 65.0], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506266979745, u'America/Recife', [[u'58f1ae6758dae64d70221323', [u'doctor'], u'LOW'], [u'5880e0fc58dae602e9ee5060', [u'pharmacy'], u'LOW'], [u'58a9e4bb58dae62ca3db4ce4', [u'laundry'], u'LOW'], [u'58e6110c58dae64d70132926', [u'store'], u'LOW'], [u'58e07e1958dae64d700b05c7', None, u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-24,2017-09-24T15:27:06.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Madalena', u'Madalena', u'Rua Jos\xe9 Bonif\xe1cio', u'385', u'51345'], [-8.047766, -34.906546, 39.45478586369971], 1506266826990]]","[[u'BR', u'PE', None, u'Madalena', u'Madalena', u'Rua Jos\xe9 Bonif\xe1cio', u'385', u'51345'], [-8.047766, -34.906546, 39.45478586369971], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506266826990, u'America/Recife', [[u'58f1ae6758dae64d70221323', [u'doctor'], u'MEDIUM'], [u'58a9e4bb58dae62ca3db4ce4', [u'laundry'], u'LOW'], [u'58e6110c58dae64d70132926', [u'store'], u'LOW'], [u'58e07e1958dae64d700b05c7', None, u'LOW'], [u'5880e0fc58dae602e9ee5060', [u'pharmacy'], u'LOW']], u'c67a03692bcd4fe26291712cf7f2dec47bbe94d0eb849a6c6ecac2fdbfb350fe', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
2017-09-24,2017-09-24T00:51:46.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jose Antonio Da Silveira', u'36', u'50610'], [-8.051355, -34.905757, 65.0], 1506214306216]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jose Antonio Da Silveira', u'36', u'50610'], [-8.051355, -34.905757, 65.0], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506214306216, u'America/Recife', [[u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW'], [u'588009ea58dae602e9ec34f8', [u'restaurant', u'point_of_interest'], u'LOW'], [u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-24,2017-09-24T00:51:08.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'149', u'50610'], [-8.05151, -34.905977, 102.8709701991656], 1506214268915]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Dom Jo\xe3o de Souza', u'149', u'50610'], [-8.05151, -34.905977, 102.8709701991656], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506214268915, u'America/Recife', [[u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'LOW'], [u'588d1ff958dae65b5e2fb917', [u'lodging'], u'LOW'], [u'588009ea58dae602e9ec34f8', [u'restaurant', u'point_of_interest'], u'LOW'], [u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW']], u'c67a03692bcd4fe26291712cf7f2dec47bbe94d0eb849a6c6ecac2fdbfb350fe', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
2017-09-24,2017-09-24T16:32:10.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jose Antonio Da Silveira', u'26', u'50610'], [-8.051504999999999, -34.905767, 32.51887235044754], 1506270730092]]","[[u'BR', u'PE', None, u'Recife', u'Madalena', u'Rua Jose Antonio Da Silveira', u'26', u'50610'], [-8.051504999999999, -34.905767, 32.51887235044754], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506270730092, u'America/Recife', [[u'57ef86ff58dae6667adf10a6', [u'hair_care', u'beauty_salon', u'well_being', u'store'], u'MEDIUM'], [u'58a81be858dae62ca3d98b11', [u'bakery'], u'LOW'], [u'58d41bad58dae6551691b80b', [u'real_estate_agency'], u'LOW']], None, u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",LOCALIZATION,America/Recife
2017-09-24,2017-09-24T16:20:46.000Z,81B4F17C-2279-40F3-A027-22DB0B1270FB,"[[[u'BR', u'PE', None, u'Madalena', u'Madalena', u'Rua Pessoa de Melo', u'2\u2013164', u'50610'], [-8.05315, -34.907651, 200.0], 1506270046846]]","[[u'BR', u'PE', None, u'Madalena', u'Madalena', u'Rua Pessoa de Melo', u'2\u2013164', u'50610'], [-8.05315, -34.907651, 200.0], [u'59138b2503205749cdfbb274', u'5913913e03205749cd16bd1c', u'59138b2503205749cdfbb2f6', u'59138e4903205749cd088956', u'59138aad03205749cdfa7358', u'5913913f03205749cd16c337', u'591392ff03205749cd2046ab', u'59138f2503205749cd0c820e', u'5913907f03205749cd12da08'], 1506270046846, u'America/Recife', [[u'58ae64eb58dae60c1a9e0244', [u'convenience_store', u'department_store', u'store'], u'LOW'], [u'58ab1d9858dae62ca3dc4a5d', [u'convenience_store', u'department_store', u'store'], u'LOW'], [u'57daf1d1242dd2e62e47ee26', [u'point_of_interest'], u'LOW'], [u'58e56c7258dae64d701211f8', [u'lawyer'], u'LOW'], [u'590f310b58dae6766273e787', [u'travel_agency'], u'LOW']], u'c67a03692bcd4fe26291712cf7f2dec47bbe94d0eb849a6c6ecac2fdbfb350fe', u'81B4F17C-2279-40F3-A027-22DB0B1270FB']",VISIT,America/Recife
